"","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","district","property_type","room_type","accommodates","bedrooms","price","minimum_nights","maximum_nights","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable"
"1",2019-11-08,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",2,1,125,30,1125,90,10,10,10,8,10,9,"FALSE"
"2",2019-10-11,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Chelsea","Manhattan","Entire apartment","Entire place",5,1,175,30,1125,65,8,8,8,7,9,7,"FALSE"
"3",2012-05-02,"within a day",1,1,"FALSE",1,"TRUE","TRUE","East Village","Manhattan","Entire apartment","Entire place",4,1,110,30,1125,85,9,9,9,9,10,9,"TRUE"
"4",2015-01-03,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Bayside","Queens","Entire apartment","Entire place",4,1,81,2,1125,93,9,9,10,9,9,9,"TRUE"
"5",2015-08-20,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Long Island City","Queens","Entire apartment","Entire place",4,1,140,1,1125,93,10,9,10,9,9,10,"TRUE"
"6",2016-02-17,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Chelsea","Manhattan","Entire apartment","Entire place",3,1,119,2,1125,95,10,9,9,9,10,9,"FALSE"
"7",2016-07-15,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Fort Greene","Brooklyn","Entire apartment","Entire place",2,1,100,30,1125,83,9,8,9,9,9,9,"FALSE"
"8",2018-06-02,"within a few hours",1,1,"FALSE",1,"TRUE","FALSE","Astoria","Queens","Entire apartment","Entire place",4,1,72,3,1125,93,9,9,10,9,10,9,"FALSE"
"9",2014-09-29,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Gramercy","Manhattan","Entire apartment","Entire place",3,1,200,30,1125,96,10,9,9,9,10,9,"TRUE"
"10",2018-11-27,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Brooklyn Heights","Brooklyn","Entire apartment","Entire place",3,1,157,30,1125,86,9,8,9,9,10,9,"FALSE"
"11",2012-06-12,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Greenwich Village","Manhattan","Entire apartment","Entire place",4,1,149,30,1125,87,10,9,9,9,10,10,"FALSE"
"12",2016-06-29,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","East Harlem","Manhattan","Entire apartment","Entire place",5,1,99,30,1125,89,9,9,9,9,9,9,"FALSE"
"13",2017-04-27,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Williamsbridge","Bronx","Entire apartment","Entire place",2,1,70,1,1125,82,9,8,9,9,9,9,"TRUE"
"14",2019-10-22,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Midtown","Manhattan","Entire apartment","Entire place",4,1,102,30,1125,100,10,10,10,9,10,9,"TRUE"
"15",2019-12-02,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Chelsea","Manhattan","Entire apartment","Entire place",4,1,115,1,1125,95,10,9,10,9,10,10,"FALSE"
"16",2016-09-10,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",4,1,81,3,1125,83,9,9,9,9,9,8,"TRUE"
"17",2015-06-20,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Upper West Side","Manhattan","Entire apartment","Entire place",5,2,325,30,1125,88,9,9,9,9,10,9,"TRUE"
"18",2012-03-10,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Bay Ridge","Brooklyn","Entire apartment","Entire place",4,2,99,2,1125,91,9,9,9,9,9,9,"TRUE"
"19",2019-08-05,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Lower East Side","Manhattan","Entire apartment","Entire place",4,2,163,30,1125,91,9,9,9,9,9,8,"TRUE"
"20",2020-01-01,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",5,2,135,30,1125,83,9,9,9,9,10,9,"FALSE"
"21",2020-02-21,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","East Harlem","Manhattan","Entire apartment","Entire place",5,2,275,30,1125,83,9,9,9,9,8,8,"FALSE"
"22",2012-01-31,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","NoHo","Manhattan","Entire apartment","Entire place",4,1,357,30,1125,93,10,10,8,10,10,10,"FALSE"
"23",2013-05-06,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Williamsburg","Brooklyn","Entire apartment","Entire place",4,2,190,5,1125,96,10,10,9,10,10,9,"TRUE"
"24",2013-07-08,"within a day",1,1,"FALSE",1,"TRUE","FALSE","Upper West Side","Manhattan","Entire apartment","Entire place",6,3,400,31,1125,95,10,9,9,10,10,9,"FALSE"
"25",2013-10-09,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Crown Heights","Brooklyn","Entire apartment","Entire place",3,1,95,30,1125,93,10,9,9,10,10,10,"TRUE"
"26",2013-04-05,"within a day",1,1,"FALSE",1,"TRUE","FALSE","East Harlem","Manhattan","Entire apartment","Entire place",2,1,124,30,1125,93,10,10,9,10,9,9,"FALSE"
"27",2011-08-25,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","East Village","Manhattan","Entire apartment","Entire place",3,1,111,30,1125,89,9,8,9,10,9,9,"TRUE"
"28",2011-02-22,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Williamsburg","Brooklyn","Entire apartment","Entire place",2,1,110,27,1125,91,9,8,9,10,9,9,"TRUE"
"29",2015-07-13,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Nolita","Manhattan","Entire apartment","Entire place",2,1,145,4,1125,95,10,10,9,10,10,9,"FALSE"
"30",2011-05-25,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Upper West Side","Manhattan","Entire apartment","Entire place",2,1,172,28,1125,98,10,10,9,10,10,10,"TRUE"
"31",2015-02-11,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Upper West Side","Manhattan","Entire apartment","Entire place",4,1,90,30,1125,100,10,10,9,10,10,10,"FALSE"
"32",2018-10-13,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Harlem","Manhattan","Entire apartment","Entire place",3,1,70,30,1125,100,9,9,9,10,9,9,"TRUE"
"33",2014-02-01,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",4,1,275,7,1125,93,9,9,9,10,9,9,"TRUE"
"34",2012-05-01,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Mariners Harbor","Staten Island","Entire apartment","Entire place",6,3,150,30,1125,95,9,10,10,10,9,10,"TRUE"
"35",2018-04-27,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Washington Heights","Manhattan","Entire apartment","Entire place",3,1,56,1,1125,92,9,9,10,10,10,10,"TRUE"
"36",2016-06-14,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Woodside","Queens","Entire apartment","Entire place",2,1,108,3,1125,100,9,10,10,10,10,10,"FALSE"
